gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp
gml/Cesnet200511.gml,39,44,1,3,False,True,False,3,0,0.39,0,SAT,False,0.31,0.28,0.02,99,71704,70.02,2026-07-05T17:57:31
gml/Cesnet200603.gml,39,44,1,3,False,True,False,3,0,0.393,0,SAT,False,0.313,0.3,0.0,99,71584,69.91,2026-07-05T17:57:32
gml/Cesnet200706.gml,44,51,1,3,False,True,False,3,0,0.393,0,SAT,False,0.363,0.34,0.02,100,82352,80.42,2026-07-05T17:57:32
gml/Cesnet201006.gml,52,63,1,3,False,True,False,3,0,0.416,-9,TIMEOUT,True,30.04,,,,,,2026-07-05T17:57:33
gml/Chinanet.gml,42,66,1,3,False,True,False,3,0,0.401,-9,TIMEOUT,True,30.04,,,,,,2026-07-05T17:58:04
gml/Claranet.gml,15,18,1,3,False,True,False,3,0,0.36,0,SAT,False,0.044,0.03,0.0,97,39496,38.57,2026-07-05T17:58:34
gml/Cogentco.gml,197,245,1,3,False,True,False,3,0,0.917,-9,TIMEOUT,True,30.112,,,,,,2026-07-05T17:58:35
gml/Colt.gml,153,191,1,3,False,True,False,3,0,0.7,-9,TIMEOUT,True,30.089,,,,,,2026-07-05T17:59:06
gml/Columbus.gml,70,85,1,3,False,True,False,3,0,0.442,0,SAT,False,3.562,3.46,0.09,100,335896,328.02,2026-07-05T17:59:36
gml/Compuserve.gml,14,17,1,3,False,True,False,3,0,0.384,0,SAT,False,0.389,0.37,0.0,99,50636,49.45,2026-07-05T17:59:40
gml/CrlNetworkServices.gml,33,38,1,3,False,True,False,3,0,0.421,0,SAT,False,0.229,0.21,0.01,99,75908,74.13,2026-07-05T17:59:41
gml/Cudi.gml,51,52,1,3,False,True,False,3,0,0.432,0,SAT,False,0.78,0.74,0.03,99,116416,113.69,2026-07-05T17:59:42
gml/Cwix.gml,36,41,1,3,False,True,False,3,0,0.419,0,SAT,False,0.247,0.23,0.01,99,83672,81.71,2026-07-05T17:59:43
gml/Cynet.gml,30,29,1,3,False,True,False,3,0,0.391,0,SAT,False,0.185,0.17,0.0,99,65992,64.45,2026-07-05T17:59:44
