gml_file,num_nodes,num_edges,num_bad,num_good,full,expand_indices,force_unsat,seed,experiment_returncode,experiment_time_s,nksynth_returncode,verdict,timed_out,wall_time_s,user_time_s,sys_time_s,cpu_percent,max_rss_kb,max_rss_mb,timestamp,num_repeats
gml/Cesnet200603.gml,39,44,1,1,False,False,True,3,0,0.383,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:33,1
gml/Cesnet200706.gml,44,51,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,2.01,,,,,,2026-07-10T00:36:35,1
gml/Cesnet201006.gml,52,63,1,1,False,False,True,3,0,0.37,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:38,1
gml/Chinanet.gml,42,66,1,1,False,False,True,3,0,0.379,-9,TIMEOUT,True,2.009,,,,,,2026-07-10T00:36:40,1
gml/Claranet.gml,15,18,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:36:42,1
gml/Cogentco.gml,197,245,1,1,False,False,True,3,0,0.623,-9,TIMEOUT,True,2.035,,,,,,2026-07-10T00:36:45,1
gml/Colt.gml,153,191,1,1,False,False,True,3,0,0.499,-9,TIMEOUT,True,2.027,,,,,,2026-07-10T00:36:48,1
gml/Columbus.gml,70,85,1,1,False,False,True,3,0,0.391,-9,TIMEOUT,True,2.018,,,,,,2026-07-10T00:36:50,1
gml/Compuserve.gml,14,17,1,1,False,False,True,3,0,0.363,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:52,1
gml/CrlNetworkServices.gml,33,38,1,1,False,False,True,3,0,0.383,0,UNSAT,False,0.287,0.26,0.02,99,61536,60.09,2026-07-10T00:36:55,1
gml/Cudi.gml,51,52,1,1,False,False,True,3,0,0.386,0,UNSAT,False,0.424,0.4,0.01,99,71636,69.96,2026-07-10T00:36:56,1
gml/Cwix.gml,36,41,1,1,False,False,True,3,0,0.398,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:36:56,1
gml/Cynet.gml,30,29,1,1,False,False,True,3,0,0.38,-9,TIMEOUT,True,2.006,,,,,,2026-07-10T00:36:59,1
gml/Darkstrand.gml,28,31,1,1,False,False,True,3,0,0.373,-9,TIMEOUT,True,2.003,,,,,,2026-07-10T00:37:01,1
gml/Dataxchange.gml,6,11,1,1,False,False,True,3,0,0.366,0,UNSAT,False,0.065,0.06,0.0,100,35604,34.77,2026-07-10T00:37:03,1
gml/Deltacom.gml,113,183,1,1,False,False,True,3,0,0.439,-9,TIMEOUT,True,2.041,,,,,,2026-07-10T00:37:04,1
gml/DeutscheTelekom.gml,39,62,1,1,False,False,True,3,0,0.371,-9,TIMEOUT,True,2.01,,,,,,2026-07-10T00:37:06,1
gml/DeutscheTelekomIpTransitIpPopsOnly.gml,39,62,1,1,False,False,True,3,0,0.368,-9,TIMEOUT,True,2.005,,,,,,2026-07-10T00:37:09,1
